Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Rent ID
N.S.,Halifax,Mainland South,Armdale,Apt & Other,1088.0,787.0,1270.0,0.0,1148.0,2018,centre2,Zone6,Rent_18
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone6,Rent_19
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,598.0,686.0,893.0,1036.0,823.0,2018,centre2,Zone6,Rent_20
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,0.0,1684.0,1684.0,2018,centre2,Zone7,Rent_21
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,0.0,718.0,0.0,0.0,0.0,2018,centre2,Zone7,Rent_22
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,1252.0,0.0,1252.0,2018,centre2,Zone7,Rent_23
N.S.,Halifax,Mainland North,Fairview,Apt & Other,0.0,874.0,1234.0,1351.0,1138.0,2018,centre2,Zone7,Rent_24
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,0.0,0.0,1464.0,1311.0,2018,centre2,Zone7,Rent_25
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,751.0,855.0,1066.0,1320.0,1026.0,2018,centre2,Zone7,Rent_26
N.S.,Halifax,Mainland North,Bedford South,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone7,Rent_27
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,0.0,996.0,1323.0,1506.0,1259.0,2018,centre2,Zone7,Rent_28
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone8,Rent_29
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,645.0,770.0,896.0,0.0,839.0,2018,centre2,Zone8,Rent_30
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone8,Rent_31
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,674.0,860.0,1078.0,1230.0,998.0,2018,centre2,Zone8,Rent_32
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,0.0,0.0,0.0,952.0,795.0,2018,centre2,Zone8,Rent_33
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,600.0,679.0,845.0,0.0,758.0,2018,centre2,Zone8,Rent_34
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone9,Rent_35
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,586.0,758.0,818.0,917.0,804.0,2018,centre2,Zone9,Rent_36
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone9,Rent_37
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,843.0,959.0,1425.0,0.0,1266.0,2018,centre2,Zone9,Rent_38
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Rent_39
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,0.0,1103.0,1506.0,0.0,1428.0,2018,centre2,Zone10,Rent_40
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Rent_41
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,0.0,675.0,769.0,792.0,745.0,2018,centre2,Zone10,Rent_42
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Rent_43
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,0.0,0.0,835.0,0.0,820.0,2018,centre2,Zone10,Rent_44
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone11,Rent_45
N.S.,Halifax,Bedford,Bedford,Apt & Other,0.0,843.0,1278.0,1498.0,1249.0,2018,centre2,Zone11,Rent_46
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,1444.0,1453.0,1449.0,2018,centre2,Zone12,Rent_47
N.S.,Halifax,Sackville,Sackville,Apt & Other,0.0,985.0,1082.0,1286.0,1093.0,2018,centre2,Zone12,Rent_48
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Rent_49
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,816.0,1130.0,0.0,1036.0,2018,centre2,Zone3,Rent_50
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Rent_51
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,0.0,0.0,1555.0,1707.0,1549.0,2018,centre2,Zone3,Rent_52
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Rent_53
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Rent_54
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,0.0,1375.0,1375.0,2018,centre2,Zone3,Rent_55
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Apt & Other,0.0,0.0,678.0,0.0,671.0,2018,centre2,Zone3,Rent_56
N.S.,Halifax,Remainder of CMA,Halifax County East,Row,0.0,0.0,0.0,0.0,1397.0,2018,centre2,Zone3,Rent_57
N.S.,Halifax,Remainder of CMA,Halifax County East,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Rent_58
N.B.,Moncton,Central Moncton,Downtown Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone13,Rent_59
N.B.,Moncton,Central Moncton,Downtown Moncton,Apt & Other,588.0,719.0,833.0,802.0,769.0,2018,centre3,Zone13,Rent_60
N.B.,Moncton,Central Moncton,Garden Hill,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone13,Rent_61
N.B.,Moncton,Central Moncton,Garden Hill,Apt & Other,565.0,650.0,776.0,825.0,740.0,2018,centre3,Zone13,Rent_62
N.B.,Moncton,West Moncton,West Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone14,Rent_63
N.B.,Moncton,West Moncton,West Moncton,Apt & Other,626.0,699.0,802.0,818.0,755.0,2018,centre3,Zone14,Rent_64
N.B.,Moncton,East Moncton,Sunny Brae,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Rent_65
N.B.,Moncton,East Moncton,Sunny Brae,Apt & Other,0.0,642.0,807.0,0.0,829.0,2018,centre3,Zone15,Rent_66
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Rent_67
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Apt & Other,0.0,680.0,866.0,1001.0,855.0,2018,centre3,Zone15,Rent_68
N.B.,Moncton,East Moncton,Humphrey,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Rent_69
N.B.,Moncton,East Moncton,Humphrey,Apt & Other,684.0,664.0,786.0,0.0,766.0,2018,centre3,Zone15,Rent_70
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Rent_71
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Rent_72
N.B.,Moncton,North Moncton,Parkton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone16,Rent_73
N.B.,Moncton,North Moncton,Parkton,Apt & Other,602.0,657.0,785.0,911.0,736.0,2018,centre3,Zone16,Rent_74
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone16,Rent_75
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Apt & Other,0.0,844.0,957.0,0.0,945.0,2018,centre3,Zone16,Rent_76
N.B.,Moncton,Riverview,Riverview,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone17,Rent_77
N.B.,Moncton,Riverview,Riverview,Apt & Other,0.0,754.0,836.0,1135.0,834.0,2018,centre3,Zone17,Rent_78
N.B.,Moncton,Dieppe City,Downtown Dieppe,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,Rent_79
N.B.,Moncton,Dieppe City,Downtown Dieppe,Apt & Other,0.0,703.0,827.0,1000.0,811.0,2018,centre3,Zone18,Rent_80
N.B.,Moncton,Dieppe City,St. Anselme,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,Rent_81
N.B.,Moncton,Dieppe City,St. Anselme,Apt & Other,0.0,0.0,797.0,0.0,779.0,2018,centre3,Zone18,Rent_82
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,Rent_83
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Apt & Other,0.0,906.0,1095.0,0.0,1072.0,2018,centre3,Zone18,Rent_84
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone3,Rent_85
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Apt & Other,0.0,536.0,704.0,0.0,657.0,2018,centre3,Zone3,Rent_86
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone3,Rent_87
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone3,Rent_88
N.B.,Saint John,South,South End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone19,Rent_89
N.B.,Saint John,South,South End,Apt & Other,433.0,630.0,693.0,867.0,644.0,2018,centre4,Zone19,Rent_90
N.B.,Saint John,South,Uptown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone19,Rent_91
N.B.,Saint John,South,Uptown,Apt & Other,583.0,663.0,836.0,1024.0,750.0,2018,centre4,Zone19,Rent_92
N.B.,Saint John,West,West,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone20,Rent_93
N.B.,Saint John,West,West,Apt & Other,0.0,579.0,696.0,800.0,690.0,2018,centre4,Zone20,Rent_94
N.B.,Saint John,North,Indian Town,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,Rent_95
N.B.,Saint John,North,Indian Town,Apt & Other,479.0,592.0,684.0,723.0,655.0,2018,centre4,Zone21,Rent_96
N.B.,Saint John,North,North End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,Rent_97
N.B.,Saint John,North,North End,Apt & Other,598.0,763.0,809.0,748.0,785.0,2018,centre4,Zone21,Rent_98
N.B.,Saint John,North,Millidgeville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,Rent_99
N.B.,Saint John,North,Millidgeville,Apt & Other,571.0,666.0,787.0,0.0,771.0,2018,centre4,Zone21,Rent_100
N.B.,Saint John,East,East,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone22,Rent_101
N.B.,Saint John,East,East,Apt & Other,556.0,622.0,757.0,764.0,728.0,2018,centre4,Zone22,Rent_102
N.B.,Saint John,Outlying Areas,Rothesay,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Rent_103
N.B.,Saint John,Outlying Areas,Rothesay,Apt & Other,0.0,611.0,665.0,0.0,667.0,2018,centre4,Zone23,Rent_104
N.B.,Saint John,Outlying Areas,Quipspamsis,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Rent_105
N.B.,Saint John,Outlying Areas,Quipspamsis,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Rent_106
N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Rent_107
N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,Apt & Other,0.0,0.0,0.0,0.0,562.0,2018,centre4,Zone23,Rent_108
N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Rent_109
N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Rent_110
Que,Saguenay,North Sector,Chicoutimi-Nord,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,Rent_111
Que,Saguenay,North Sector,Chicoutimi-Nord,Apt & Other,514.0,456.0,553.0,622.0,543.0,2018,centre5,Zone24,Rent_112
Que,Saguenay,North Sector,Northern Outskirts,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,Rent_113
Que,Saguenay,North Sector,Northern Outskirts,Apt & Other,0.0,440.0,487.0,602.0,517.0,2018,centre5,Zone24,Rent_114
Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone25,Rent_115
Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,Apt & Other,441.0,479.0,576.0,607.0,530.0,2018,centre5,Zone25,Rent_116
Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone25,Rent_117
Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,Apt & Other,435.0,503.0,675.0,704.0,643.0,2018,centre5,Zone25,Rent_118
Que,Saguenay,Jonquière,Jonquière Downtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,Rent_119
Que,Saguenay,Jonquière,Jonquière Downtown,Apt & Other,429.0,461.0,571.0,688.0,558.0,2018,centre5,Zone26,Rent_120
Que,Saguenay,Jonquière,Jonquière,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,Rent_121
Que,Saguenay,Jonquière,Jonquière,Apt & Other,389.0,469.0,635.0,766.0,619.0,2018,centre5,Zone26,Rent_122
Que,Saguenay,Jonquière,Southern Outskirts,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,Rent_123
Que,Saguenay,Jonquière,Southern Outskirts,Apt & Other,0.0,0.0,504.0,0.0,557.0,2018,centre5,Zone26,Rent_124
Que,Saguenay,La Baie,La Baie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone27,Rent_125
Que,Saguenay,La Baie,La Baie,Apt & Other,0.0,445.0,514.0,540.0,506.0,2018,centre5,Zone27,Rent_126
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Ville-Marie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone28,Rent_127
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Ville-Marie,Apt & Other,867.0,1119.0,1587.0,1681.0,1164.0,2018,centre6,Zone28,Rent_128
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Île-des-Soeurs,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone28,Rent_129
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Île-des-Soeurs,Apt & Other,733.0,933.0,1157.0,1175.0,1001.0,2018,centre6,Zone28,Rent_130
Que,Montréal,Sud-Ouest/Verdun,Verdun,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone29,Rent_131
Que,Montréal,Sud-Ouest/Verdun,Verdun,Apt & Other,530.0,697.0,718.0,866.0,715.0,2018,centre6,Zone29,Rent_132
Que,Montréal,Sud-Ouest/Verdun,South West,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone29,Rent_133
Que,Montréal,Sud-Ouest/Verdun,South West,Apt & Other,0.0,837.0,801.0,931.0,823.0,2018,centre6,Zone29,Rent_134
Que,Montréal,LaSalle,LaSalle,Row,0.0,0.0,0.0,890.0,890.0,2018,centre6,Zone30,Rent_135
Que,Montréal,LaSalle,LaSalle,Apt & Other,519.0,671.0,754.0,1049.0,789.0,2018,centre6,Zone30,Rent_136
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Westmount,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Rent_137
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Westmount,Apt & Other,818.0,1200.0,0.0,2514.0,0.0,2018,centre6,Zone31,Rent_138
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Notre-Dame-de-Grâce,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Rent_139
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Notre-Dame-de-Grâce,Apt & Other,609.0,748.0,918.0,1052.0,808.0,2018,centre6,Zone31,Rent_140
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Hampstead/Côte-Saint-Luc,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Rent_141
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Hampstead/Côte-Saint-Luc,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Rent_142
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Côte-Saint-Luc/Montreal West,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Rent_143
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Côte-Saint-Luc/Montreal West,Apt & Other,567.0,850.0,1224.0,1459.0,1039.0,2018,centre6,Zone31,Rent_144
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Côte-des-Neiges,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,Rent_145
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Côte-des-Neiges,Apt & Other,602.0,768.0,963.0,1319.0,865.0,2018,centre6,Zone32,Rent_146
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Outremont,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,Rent_147
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Outremont,Apt & Other,0.0,942.0,1289.0,0.0,1168.0,2018,centre6,Zone32,Rent_148
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Mont-Royal,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,Rent_149
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Mont-Royal,Apt & Other,0.0,848.0,1076.0,1324.0,996.0,2018,centre6,Zone32,Rent_150
Que,Montréal,Plateau-Mont-Royal,Plateau-Mont-Royal,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone33,Rent_151
Que,Montréal,Plateau-Mont-Royal,Plateau-Mont-Royal,Apt & Other,753.0,887.0,1059.0,1481.0,965.0,2018,centre6,Zone33,Rent_152
Que,Montréal,Villeray/St-Michel/Pc-Extension,Parc-Extension,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,Rent_153
Que,Montréal,Villeray/St-Michel/Pc-Extension,Parc-Extension,Apt & Other,469.0,584.0,626.0,0.0,604.0,2018,centre6,Zone34,Rent_154
Que,Montréal,Villeray/St-Michel/Pc-Extension,Villeray,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,Rent_155
Que,Montréal,Villeray/St-Michel/Pc-Extension,Villeray,Apt & Other,555.0,622.0,823.0,0.0,761.0,2018,centre6,Zone34,Rent_156
Que,Montréal,Villeray/St-Michel/Pc-Extension,Saint-Michel,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,Rent_157
Que,Montréal,Villeray/St-Michel/Pc-Extension,Saint-Michel,Apt & Other,532.0,555.0,655.0,800.0,638.0,2018,centre6,Zone34,Rent_158
Que,Montréal,Hochelaga-Maisonneuve,East Ville-Marie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone35,Rent_159
Que,Montréal,Hochelaga-Maisonneuve,East Ville-Marie,Apt & Other,681.0,755.0,797.0,995.0,828.0,2018,centre6,Zone35,Rent_160
Que,Montréal,Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone35,Rent_161
Que,Montréal,Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Apt & Other,520.0,621.0,718.0,981.0,692.0,2018,centre6,Zone35,Rent_162
Que,Montréal,Rosemont/La Petite-Patrie,Rosemont/La Petite-Patrie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone36,Rent_163
Que,Montréal,Rosemont/La Petite-Patrie,Rosemont/La Petite-Patrie,Apt & Other,549.0,657.0,752.0,1186.0,745.0,2018,centre6,Zone36,Rent_164
Que,Montréal,Anjou/Saint-Léonard,Saint-Léonard,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone37,Rent_165
Que,Montréal,Anjou/Saint-Léonard,Saint-Léonard,Apt & Other,481.0,545.0,699.0,910.0,714.0,2018,centre6,Zone37,Rent_166
Que,Montréal,Anjou/Saint-Léonard,Anjou,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone37,Rent_167
Que,Montréal,Anjou/Saint-Léonard,Anjou,Apt & Other,537.0,621.0,716.0,741.0,683.0,2018,centre6,Zone37,Rent_168
Que,Montréal,Montréal-Nord,Montréal-Nord,Row,0.0,475.0,620.0,0.0,572.0,2018,centre6,Zone38,Rent_169
Que,Montréal,Montréal-Nord,Montréal-Nord,Apt & Other,516.0,576.0,657.0,896.0,661.0,2018,centre6,Zone38,Rent_170
Que,Montréal,Ahuntsic/Cartierville,Ahuntsic,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone39,Rent_171
Que,Montréal,Ahuntsic/Cartierville,Ahuntsic,Apt & Other,491.0,643.0,796.0,1028.0,741.0,2018,centre6,Zone39,Rent_172
Que,Montréal,Ahuntsic/Cartierville,Cartierville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone39,Rent_173
Que,Montréal,Ahuntsic/Cartierville,Cartierville,Apt & Other,471.0,621.0,726.0,1173.0,689.0,2018,centre6,Zone39,Rent_174
Que,Montréal,Saint-Laurent,Saint-Laurent,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone40,Rent_175
Que,Montréal,Saint-Laurent,Saint-Laurent,Apt & Other,610.0,746.0,866.0,946.0,822.0,2018,centre6,Zone40,Rent_176
Que,Montréal,Dorval/Lachine/Saint-Pierre,Lachine,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone41,Rent_177
Que,Montréal,Dorval/Lachine/Saint-Pierre,Lachine,Apt & Other,534.0,608.0,703.0,862.0,694.0,2018,centre6,Zone41,Rent_178
Que,Montréal,Dorval/Lachine/Saint-Pierre,Dorval/Île-Dorval,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone41,Rent_179
Que,Montréal,Dorval/Lachine/Saint-Pierre,Dorval/Île-Dorval,Apt & Other,574.0,747.0,903.0,1149.0,839.0,2018,centre6,Zone41,Rent_180
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Pointe-Claire,Row,0.0,0.0,1138.0,1508.0,1342.0,2018,centre6,Zone42,Rent_181
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Pointe-Claire,Apt & Other,735.0,1056.0,1193.0,1229.0,1126.0,2018,centre6,Zone42,Rent_182
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Beaconsfield-Kirkland,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone42,Rent_183
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Beaconsfield-Kirkland,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone42,Rent_184
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Ste-Anne-de-Bellevue/Baie-d'Urfé,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone42,Rent_185
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Ste-Anne-de-Bellevue/Baie-d'Urfé,Apt & Other,536.0,680.0,781.0,965.0,739.0,2018,centre6,Zone42,Rent_186
Que,Montréal,Sainte-Geneviève/Senneville etc.,Dollard-des-Ormeaux,Row,0.0,0.0,1040.0,1240.0,1141.0,2018,centre6,Zone43,Rent_187
Que,Montréal,Sainte-Geneviève/Senneville etc.,Dollard-des-Ormeaux,Apt & Other,571.0,760.0,887.0,1067.0,853.0,2018,centre6,Zone43,Rent_188
Que,Montréal,Sainte-Geneviève/Senneville etc.,Senneville/Roxboro-Pierrefonds,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone43,Rent_189
